Row Labels,Classic ,Docked,Electric,Grand Total,,Row Labels,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Grand Total,,Row Labels,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Grand Total,,
casual,188245,51716,130720,370681,,casual,0:42:07,0:30:41,0:33:21,0:34:25,0:34:55,0:36:24,0:41:23,0:37:07,,casual,68928,35081,48073,48673,41421,52775,75730,370681,,
member,246775,,112139,358914,,member,0:16:42,0:13:34,0:14:14,0:13:58,0:14:07,0:14:33,0:16:06,0:14:41,,member,44829,43862,61547,64853,49375,47867,46581,358914,,
Grand Total,435020,51716,242859,729595,,Grand Total,0:32:06,0:21:10,0:22:37,0:22:44,0:23:36,0:26:01,0:31:45,0:26:05,,Grand Total,113757,78943,109620,113526,90796,100642,122311,729595,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Count of ride_id,Column Labels,,,,,Average of ride_length,Column Labels,,,,,,,,,Count of ride_id,Column Labels,,,,,,,,,7
Row Labels,Classic ,Docked,Electric,Grand Total,,Row Labels,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Grand Total,,Row Labels,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Grand Total,,
casual,241489,57698,142869,442056,,casual,0:36:48,0:36:40,0:28:05,0:28:37,0:30:34,0:30:42,0:34:54,0:32:47,,casual,69744,48316,45403,46552,56846,71968,103227,442056,,
member,265420,,114934,380354,,member,0:16:03,0:14:09,0:13:28,0:13:20,0:13:27,0:13:53,0:15:51,0:14:14,,member,39746,46503,52383,53540,64429,64220,59533,380354,,
Grand Total,506909,57698,257803,822410,,Grand Total,0:29:16,0:25:37,0:20:15,0:20:26,0:21:28,0:22:46,0:27:56,0:24:13,,Grand Total,109490,94819,97786,100092,121275,136188,162760,822410,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,8
Count of ride_id,Column Labels,,,,,Average of ride_length,Column Labels,,,,,,,,,Count of ride_id,Column Labels,,,,,,,,,
Row Labels,Classic ,Docked,Electric,Grand Total,,Row Labels,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Grand Total,,Row Labels,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Grand Total,,
casual,229988,45065,137618,412671,,casual,0:32:45,0:28:18,0:25:42,0:25:32,0:26:24,0:27:18,0:30:40,0:28:47,,casual,86333,49834,47312,40026,46982,58483,83701,412671,,
member,273045,,118636,391681,,member,0:16:07,0:13:24,0:12:59,0:13:08,0:13:23,0:13:45,0:16:13,0:14:06,,member,56425,60177,63611,52226,54685,53203,51354,391681,,
Grand Total,503033,45065,256254,804352,,Grand Total,0:26:10,0:20:09,0:18:25,0:18:31,0:19:24,0:20:51,0:25:10,0:21:38,,Grand Total,142758,110011,110923,92252,101667,111686,135055,804352,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,9
Count of ride_id,Column Labels,,,,,Average of ride_length,Column Labels,,,,,,,,,Count of ride_id,Column Labels,,,,,,,,,
Row Labels,Classic ,Docked,Electric,Grand Total,,Row Labels,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Grand Total,,Row Labels,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Grand Total,,
casual,195466,35337,133087,363890,,casual,0:33:23,0:29:43,0:22:25,0:23:25,0:23:44,0:26:10,0:30:26,0:27:49,,casual,68661,43447,31822,45089,50634,49902,74335,363890,,
member,266818,,125439,392257,,member,0:15:59,0:13:43,0:12:23,0:12:56,0:13:02,0:13:45,0:15:11,0:13:44,,member,46641,49180,52000,70055,71526,53043,49812,392257,,
Grand Total,462284,35337,258526,756147,,Grand Total,0:26:21,0:21:13,0:16:12,0:17:02,0:17:28,0:19:46,0:24:19,0:20:31,,Grand Total,115302,92627,83822,115144,122160,102945,124147,756147,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,10
Count of ride_id,Column Labels,,,,,Average of ride_length,Column Labels,,,,,,,,,Count of ride_id,Column Labels,,,,,,,,,
Row Labels,Classic ,Docked,Electric,Grand Total,,Row Labels,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Grand Total,,Row Labels,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Grand Total,,
casual,105589,22884,128769,257242,,casual,0:36:33,0:26:05,0:22:19,0:22:35,0:22:26,0:27:09,0:31:20,0:28:40,,casual,52642,22052,27082,26859,22329,39531,66747,257242,,
member,210550,,163434,373984,,member,0:14:24,0:11:26,0:11:44,0:11:47,0:11:25,0:12:19,0:14:08,0:12:30,,member,48138,41663,57564,57726,47121,59796,61976,373984,,
Grand Total,316139,22884,292203,631226,,Grand Total,0:25:58,0:16:30,0:15:07,0:15:13,0:14:58,0:18:13,0:23:03,0:19:06,,Grand Total,100780,63715,84646,84585,69450,99327,128723,631226,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,11
Count of ride_id,Column Labels,,,,,Average of ride_length,Column Labels,,,,,,,,,Count of ride_id,Column Labels,,,,,,,,,
Row Labels,Classic ,Docked,Electric,Grand Total,,Row Labels,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Grand Total,,Row Labels,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Grand Total,,
casual,31866,7614,67449,106929,,casual,0:28:41,0:22:24,0:17:35,0:18:06,0:20:31,0:21:19,0:29:09,0:23:07,,casual,17446,14799,16139,13793,11192,12998,20562,106929,,
member,122173,,130876,253049,,member,0:12:44,0:11:17,0:10:47,0:10:52,0:10:39,0:10:59,0:12:35,0:11:18,,member,26557,45056,51160,39360,31448,30111,29357,253049,,
Grand Total,154039,7614,198325,359978,,Grand Total,0:19:03,0:14:02,0:12:25,0:12:45,0:13:14,0:14:06,0:19:24,0:14:49,,Grand Total,44003,59855,67299,53153,42640,43109,49919,359978,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,12
Count of ride_id,Column Labels,,,,,Average of ride_length,Column Labels,,,,,,,,,Count of ride_id,Column Labels,,,,,,,,,
